property_id,formatted_address,zip_code,style,beds,full_baths,half_baths,sqft,year_built,list_price,sold_price,latitude,longitude,stories,days_on_mls,neighborhoods
8575918017,"155 N Harbor Dr Apt 3214, Chicago, IL, 60601",60601,CONDOS,0.0,1.0,,758.0,1974.0,299500.0,299500.0,41.8857,-87.6157,54.0,41.0,"Downtown Chicago, The Loop, Near East Side"
7632853204,"223 W Lake St Unit 4N, Chicago, IL, 60606",60606,CONDOS,3.0,3.0,1.0,2700.0,1895.0,1225000.0,1175000.0,41.885376,-87.634888,5.0,109.0,"Downtown Chicago, The Loop"
8560648763,"3316 W Byron St Unit 1, Chicago, IL, 60618",60618,CONDOS,2.0,1.0,,900.0,1921.0,230000.0,240000.0,41.952204,-87.711306,1.0,46.0,"Irving Park, Little Cassubia, Northwest Side"
7808398448,"4259 N Ashland Ave Apt 2, Chicago, IL, 60613",60613,CONDOS,3.0,2.0,,1300.0,2003.0,499900.0,525000.0,41.959542,-87.668729,3.0,42.0,"North Side, Lake View, Graceland West"
7084405529,"11606 S May St, Chicago, IL, 60643",60643,SINGLE_FAMILY,4.0,1.0,1.0,1855.0,,220000.0,220000.0,41.682855,-87.650945,2.0,68.0,"West Pullman, Far Southeast Side"
7819355523,"4714 W 87th St, Chicago, IL, 60652",60652,SINGLE_FAMILY,3.0,1.0,,1040.0,1960.0,180000.0,207000.0,41.734865,-87.739084,1.0,34.0,"Ashburn Estates, Ashburn, Far Southwest Side"
8564558203,"5426 W Monroe St, Chicago, IL, 60644",60644,MULTI_FAMILY,6.0,4.0,,2200.0,1911.0,525000.0,543200.0,41.879565,-87.760693,,132.0,"South Austin, Austin, West Side"
7949538239,"3257 N Nottingham Ave, Chicago, IL, 60634",60634,SINGLE_FAMILY,4.0,2.0,1.0,3273.0,1961.0,567000.0,580200.0,41.939714,-87.803972,2.0,40.0,"Dunning, Northwest Side, Schorsch Village"
7807070540,"Chicago, IL, 60634",60634,SINGLE_FAMILY,2.0,1.0,,949.0,1955.0,319000.0,325000.0,41.939224,-87.802774,2.0,55.0,"Dunning, Northwest Side, Schorsch Village"
7132633958,"200 E Delaware Pl Apt 35F, Chicago, IL, 60611",60611,CONDOS,2.0,2.0,,1550.0,1974.0,795000.0,795000.0,41.899394,-87.621683,36.0,41.0,"Downtown Chicago, Streeterville, Near North Side"
7337467634,"2903 N Wolcott Ave Unit C, Chicago, IL, 60657",60657,SINGLE_FAMILY,4.0,2.0,1.0,2000.0,1995.0,875000.0,915000.0,41.934304,-87.674981,2.0,33.0,"North Center, North Side, Hamlin Park"
8902868578,"4845 N Bell Ave, Chicago, IL, 60625",60625,SINGLE_FAMILY,5.0,3.0,1.0,4200.0,1922.0,1995000.0,1995000.0,41.970021,-87.684953,2.0,106.0,"Far North Side, Lincoln Square, Ravenswood"
7570342569,"10248 S Albany Ave, Chicago, IL, 60655",60655,SINGLE_FAMILY,3.0,2.0,,1200.0,1957.0,407500.0,407500.0,41.706617,-87.698773,1.0,82.0,"Far Southwest Side, Mount Greenwood"
8871951144,"4339 N Greenview Ave, Chicago, IL, 60613",60613,SINGLE_FAMILY,3.0,4.0,2.0,4300.0,2025.0,1975000.0,2025000.0,41.960964,-87.66738,3.0,144.0,"North Side, Lake View, Graceland West"
8364657390,"400 E Randolph St Apt 1825, Chicago, IL, 60601",60601,CONDOS,1.0,1.0,,860.0,1963.0,299000.0,275000.0,41.884675,-87.616935,40.0,42.0,"Near East Side, Downtown Chicago, The Loop"
8963372725,"6171 N Sheridan Rd Apt 1508, Chicago, IL, 60660",60660,CONDOS,0.0,1.0,,470.0,1970.0,139900.0,135000.0,41.994383,-87.654762,,96.0,"Edgewater, Edgewater Beach, Far North Side"
9387550244,"50 E 26th St Apt 413, Chicago, IL, 60616",60616,CONDOS,2.0,2.0,,1700.0,1915.0,347000.0,347000.0,41.845923,-87.624778,5.0,,"Douglas, South Side"
8524648273,"40 E 9th St Apt 1417, Chicago, IL, 60605",60605,CONDOS,1.0,1.0,,1025.0,,245000.0,220001.0,41.871188,-87.626407,,109.0,"Downtown Chicago, The Loop"
8221428046,"1327 W Washington Blvd Apt 4C, Chicago, IL, 60607",60607,CONDOS,2.0,2.0,,2000.0,1907.0,899900.0,887188.0,41.882575,-87.661077,,53.0,"West Side, Near West Side, West Loop"
8759796157,"30 E Huron St Apt 2008, Chicago, IL, 60611",60611,CONDOS,1.0,1.0,,650.0,1980.0,294000.0,291000.0,41.895068,-87.626422,,89.0,"Downtown Chicago, Near North Side, River North, East Huron Condominiums"
7381729300,"927 W Agatite Ave Apt 1S, Chicago, IL, 60640",60640,CONDOS,3.0,3.0,,2000.0,2008.0,568000.0,606000.0,41.962442,-87.653445,,43.0,"Far North Side, Uptown, Clarendon Park"
